Site ID,Site Name,Site Name (ar),Alternative Name,Displacement Type,Site Status,Managing Agency,Implementing Partner,FinalImplementingPartner,Funding-Implementing,Governorate,adm2,Neighborhood,adm 4,Latitude,Longitude,Accessibility,Updating Agency,Type of Visit,Total Inv,Total HH,Males 0-5,Females 0-5,Males 6-17,Females 6-17,Males 18-60,Females 18-60,Males 60+,Females 60+,Population change last month,HH departed (last 30 days),Indv departed (last 30 days),HH arrived (last 30 days),Indv arrived (last 30 days),Female headed HH (18-59 years),Child headed (0-17) HH,Unaccompanied Children,Persons with disabilities,Persons with chronic illnesses,Pregnant/ lactating women (PLW)
GZA4154,Ard Al Wahidi camp,مخيم ارض الوحيدي,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Ad Darraj,2600120,31.51997,34.468531,Accessible,ACTED,In person visit,3500,750,,,,,,,,,People have left,7,35,,,110,0,250,30,100,120
GZA5471,Al-Jala' Site,موقع الجلاء,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.5266268,34.463749,Accessible,ACTED,In person visit,1250,240,,,,,,,,,No changes,,,,,18,0,15,18,108,80
GZA4977,Al-Qadesya,مخيم القادسية,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Ash Sheikh Radwan,2600116,31.529639,34.4757727,Accessible,ACTED,In person visit,1000,205,,,,,,,,,People have arrived,,,7,35,32,0,0,20,400,39
GZA5468,Abu Eskandar,أبو اسكندر,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Ash Sheikh Radwan,2600116,31.528957,34.4757594,Accessible,ACTED,In person visit,925,221,,,,,,,,,People have arrived,,,5,25,33,0,0,10,200,65
GZA4889,Al-Katiba,الكتيبة ,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Southern Remal,2600119,31.5176542,34.4409432,Accessible,ACTED,In person visit,637,147,,,,,,,,,No changes,,,,,30,0,1,15,37,22
KYS5470,Ajaad site,موقع اجاد,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.3746366,34.293383,Accessible,ACTED,In person visit,1039,227,,,,,,,,,People have arrived,,,7,35,46,0,0,35,100,60
DEB3301,Al Sabreen camp,مخيم الصابرين,,Makeshift site,Active,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.4033633,34.3124683,Accessible,ACTED,In person visit,900,166,,,,,,,,,No changes,,,,,25,0,0,15,40,50
DEB3310,Bahriya camp,مخيم البحرية,,Makeshift site,Active,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.419,34.33148,Accessible,ACTED,In person visit,425,85,,,,,,,,,People have arrived,,,4,20,5,0,6,1,20,29
DEB4634,Al-Salam Site,موقع السلام,,Makeshift site,Active,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.41415,34.327684,Accessible,ACTED,In person visit,409,81,,,,,,,,,No changes,,,,,19,0,0,4,20,16
DEB3454,Abu Mishaal,أبو مشعل,Wisam,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.4130917,34.33121,Accessible,BLDA,Phone interview,1391,268,199,234,177,274,204,275,16,12,"People have left, People have arrived",17,96,14,80,32,0,1,52,25,54
DEB3618,Al-Sadaqa Al-Swissri,الصدقة السويسري ,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.40177,34.32866,Accessible,BLDA,In person visit,1750,336,,,,,,,,,People have left,5,12,,,32,0,0,5,460,17
GZA4388,Ministry of Labor,وزارة العمل,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.520898,34.449556,Accessible,ACTED,In person visit,450,106,,,,,,,,,People have arrived,,,3,15,14,1,0,15,23,25
GZA4437,Al-Zaharna site,موقع الزهارنة,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.520329,34.457118,Accessible,ACTED,In person visit,181,40,,,,,,,,,No changes,,,,,3,1,2,11,25,4
GZA4445,Dabeet site,موقع ضبيط,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.516264,34.452387,Accessible,ACTED,In person visit,380,62,,,,,,,,,No changes,,,,,10,0,0,10,15,9
GZA5041,Remal alwatan,رمال الوطن,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.5217413,34.4592169,Accessible,ACTED,In person visit,190,38,,,,,,,,,No changes,,,,,5,0,0,4,7,6
GZA5220,Al-Rageen,راجعين,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.5245962,34.45402425,Accessible,ACTED,In person visit,299,65,,,,,,,,,People have arrived,,,3,17,11,0,3,0,10,27
GZA5287,Mukhayam Alshabab Walriyda,مخيم الشباب والرياضة,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.53591,34.4591724,Accessible,ACTED,In person visit,514,111,,,,,,,,,No changes,,,,,21,0,0,8,22,36
GZA5290,Dawar Falastin Camp,مخيم دوار فلسطين,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.5229019,34.4558158,Accessible,ACTED,In person visit,516,104,,,,,,,,,No changes,,,,,8,0,0,25,50,30
GZA5343,Al Qastal camp,مخيم القسطل,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.530833,34.460611,Accessible,ACTED,In person visit,226,53,,,,,,,,,People have arrived,,,4,20,7,1,4,2,13,12
GZA5443,Nisr Al-Shamali,مخيم النصر الشمالي,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.531573,34.461791,Accessible,ACTED,In person visit,1100,250,,,,,,,,,People have arrived,,,13,63,32,1,41,30,121,30
GZA5444,Ahel Al khair,مخيم اهل الخير,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.52986,34.463431,Accessible,ACTED,In person visit,500,100,,,,,,,,,No changes,,,,,12,0,0,5,5,15
GZA5475,Al-Nasr School Shelter,مركز ايواء مدرسة النصر,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.5322716,34.457679,Accessible,ACTED,In person visit,543,100,,,,,,,,,No changes,,,,,6,1,1,25,6,22
GZA6009,Atfalouna,موقع اطفالنا,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.522831,34.456531,Accessible,ACTED,In person visit,330,60,,,,,,,,,People have arrived,,,10,50,5,0,0,10,40,10
DEB0071,Ard Abu Gemayzeh,ايواء ارض ابو جميزة,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Yafa,2651089,31.41529,34.34074,Accessible,BLDA,Phone interview,2576,445,,,,,,,,,"People have left, People have arrived",13,65,2,8,9,0,0,15,55,57
DEB0143,Sweed camp,موقع إيواء السويد,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Al Balad,2651094,31.42281,34.35491,Accessible,BLDA,Phone interview,1253,268,95,147,163,188,274,354,14,18,"People have left, People have arrived",17,95,14,79,37,5,10,16,73,59
DEB2199,Al-Hasoon,ايواء حسونة,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Yafa,2651089,31.41536,34.34473,Accessible,BLDA,Phone interview,564,99,,,,,,,,,No changes,,,,,13,0,0,2,32,15
DEB2263,Akka,عكا,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.39685,34.32296,Accessible,BLDA,Phone interview,640,139,,,,,,,,,People have left,1,6,,,14,0,0,2,46,46
DEB4684,Al-Amal Aghosh,موقع الميدان,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.398405,34.32337,Accessible,BLDA,Phone interview,522,118,,,,,,,,,No changes,,,,,22,0,11,10,36,30
DEB4917,Al-Shaimaa,الشيماء,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Al Birkeh,2651099,31.4008853,34.3289126,Accessible,BLDA,Phone interview,326,77,30,20,54,46,75,79,10,12,No changes,,,,,8,0,3,8,35,15
DEB4919,Al-Sikka 2,السكة 2,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Al Bureij,26503148,31.4426669,34.3989651,Accessible,BLDA,Phone interview,1427,286,110,95,198,215,360,399,30,20,People have arrived,,,3,17,62,0,12,15,50,93
DEB4920,Bait Lahea Camp,مخيم بيت لاهيا,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,As Sahabah,2650577,31.4409337,34.356091,Accessible,BLDA,Phone interview,738,147,,,,,,,,,People have left,2,8,,,24,0,1,21,38,93
DEB4928,Al-Sikka 1,مخيم السكة1,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Al Bureij,26503148,31.4431779,34.3993998,Accessible,BLDA,Phone interview,1135,236,104,70,189,195,254,283,22,18,"People have left, People have arrived",11,55,14,84,51,0,10,13,64,113
GZA2136,Al-Mu'tasim Billah Shelter Center,مركز المعتصم بالله للإيواء,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Ad Darraj,2600120,31.5157,34.45519,Accessible,ACTED,In person visit,600,120,,,,,,,,,People have arrived,,,2,6,13,0,0,5,17,20
GZA3665,Bashir Al Rayes Secondary School for Girls,مدرسة بشير الريس الثانوية للبنات,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.5188612,34.4502806,Accessible,ACTED,In person visit,740,145,,,,,,,,,No changes,,,,,11,0,1,20,15,30
GZA4353,Al-Majida School Wasila Bani Ammar,مدرسة الماجدة وسيلة بني عمار,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.522989,34.457863,Accessible,ACTED,In person visit,1040,208,,,,,,,,,No changes,,,,,23,1,1,25,110,47
GZA4817,Al-Rahma Site,موقع الرحمة,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.5222,34.450511,Accessible,ACTED,Phone interview,465,81,,,,,,,,,People have arrived,,,3,10,8,0,0,7,40,25
GZA4838,Haratuna Site,موقع حارتنا,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.523202,34.46177,Accessible,ACTED,In person visit,1119,235,,,,,,,,,No changes,,,,,35,1,0,35,77,52
GZA4880,Abu Khadra,ابو خضرة,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.515395,34.453872,Accessible,ACTED,In person visit,1130,200,,,,,,,,,"People have left, People have arrived",3,15,4,20,21,1,0,12,25,46
GZA5007,Aman 3,امان 3,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Ash Sheikh Radwan,2600116,31.52816,34.4671344,Accessible,ACTED,In person visit,2500,500,,,,,,,,,No changes,,,,,25,1,0,20,200,90
GZA5031,Jesser Al-Hayat site,موقع جسر الحياة,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Ash Sheikh Radwan,2600116,31.529311,34.4644487,Accessible,ACTED,In person visit,3400,570,,,,,,,,,No changes,,,,,50,6,6,50,600,200
GZA5270,Hsan Selema School,مدرسة حسن سلامة,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.5312659,34.4610417,Accessible,ACTED,In person visit,700,100,,,,,,,,,No changes,,,,,6,1,0,3,40,14
GZA5417,Wilayat Samail [Hafsa],مخيم ولاية سمائل[حفصة],,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.53,34.457167,Accessible,ACTED,In person visit,2750,547,,,,,,,,,People have arrived,,,4,20,58,2,69,18,102,70
GZA6018,Al-Jawad Site,موقع الجواد,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.517769,34.453843,Accessible,ACTED,In person visit,936,183,,,,,,,,,No changes,,,,,25,0,35,20,130,60
GZA6027,Al-Salam Site,موقع السلام,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.52157,34.45177,Accessible,ACTED,In person visit,535,100,,,,,,,,,"People have left, People have arrived",3,15,3,15,14,0,21,8,15,27
NGZ4529,Isa Murad Site,موقع عيسى مراد,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,North Gaza,255,Al Karameh,2550536,31.541906,34.465483,Accessible,BLDA,In person visit,705,182,,,,,,,,,People have arrived,,,42,200,27,0,0,3,49,22
NGZ5105,Almahabba site,موقع المحبة,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,North Gaza,255,Ibad Ar-Rahman,25505137,31.5368851,34.4759197,Accessible,BLDA,In person visit,900,188,120,150,180,220,70,90,30,40,People have arrived,,,7,70,20,2,0,13,40,56
DEB2708,Al-Quds Hurra,القدس حرة,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.4152,34.3325217,Accessible,BLDA,Phone interview,1016,219,53,73,135,159,135,160,129,172,People have arrived,,,3,16,14,0,2,9,55,62
DEB4557,Al-Rafdeen,ايواء الرافدين,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.410334,34.327883,Accessible,BLDA,Phone interview,961,211,62,62,152,153,245,245,17,25,People have arrived,,,15,75,25,0,0,34,87,25
DEB4561,Ard Abu Kheswan,ارض ابو خصوان,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.407906,34.328595,Accessible,BLDA,In person visit,892,177,34,28,26,35,345,375,23,26,People have arrived,,,7,25,38,2,1,48,65,49
GZA4195,Al-Awda,العودة,Al Maqousai Land,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Gaza,260,An Naser-Gaza,2600123,31.538125,34.462057,Accessible,BLDA,In person visit,1116,260,,,,,,,,,No changes,,,,,41,2,2,12,240,80
GZA4921,Al-Mashtal,المشتل,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Gaza,260,An Naser-Gaza,2600123,31.540001,34.452774,Accessible,BLDA,In person visit,814,197,,,,,,,,,People have arrived,,,20,100,36,0,0,11,89,50
GZA4924,Al-Masri B13 Camp,مخيم المصري B13,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Gaza,260,An Naser-Gaza,2600123,31.5393288,34.4611445,Accessible,BLDA,In person visit,1515,348,,,,,,,,,No changes,,,,,67,0,0,81,35,37
GZA5461,B12,B12,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Gaza,260,An Naser-Gaza,2600123,31.5395,34.460917,Accessible,BLDA,In person visit,980,220,,,,,,,,,People have arrived,,,4,15,31,0,0,14,62,44
GZA6013,Metro Al-jwazat Site,مترو الجوازات,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Gaza,260,Southern Remal,2600119,31.5164077,34.4428719,Accessible,BLDA,In person visit,3366,724,,,,,,,,,No changes,,,,,354,0,15,124,595,432
NGZ4167,Walood,والود,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,North Gaza,255,Az Zohour,25505143,31.54297247,34.48774009,Accessible,BLDA,In person visit,647,160,,,,,,,,,People have left,12,55,,,25,0,0,30,6,44
NGZ4915,Al-Helo 2,الحلو 2,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,North Gaza,255,Ibad Ar-Rahman,25505137,31.53925,34.467417,Accessible,BLDA,In person visit,395,100,,,,,,,,,No changes,,,,,10,0,0,3,30,18
NGZ5481,Al-Masri 15,المخيم المصري-15 ,,Makeshift site,Active,No SMA,,No SMA,,North Gaza,255,Ar Rawdah,25505139,31.521155,34.4776417,Accessible,PHC,In person visit,1100,280,,,,,,,,,No changes,,,,,90,0,0,12,70,150
DEB0477,Arb abu salim shelter,ايواء ارض ابو سليم,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Al Hikr,2651093,31.40994,34.33947,Accessible,BLDA,Phone interview,557,176,29,39,109,88,163,104,15,10,No changes,,,,,23,2,0,2,30,25
DEB2610,Al-Izza site,ايواء العزة,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.40775,34.33028,Accessible,BLDA,Phone interview,1035,210,,,,,,,,,People have left,3,11,,,36,2,1,22,75,20
DEB3187,Al-Noor Shelter,إيواء النور,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.41104,34.33117,Accessible,BLDA,Phone interview,1261,304,,,,,,,,,"People have left, People have arrived",5,25,11,60,39,1,0,7,41,19
GZA4201,Al-Fares / Ard Al-Rayes,ارض الريس,,Makeshift site,Active,DRC,PHC,PHC,DRC/PHC,Gaza,260,Az Zaitoun,2600122,31.502831,34.449503,Accessible,PHC,In person visit,850,172,,,,,,,,,No changes,,,,,25,0,1,10,50,20
GZA4922,A12,A12,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Gaza,260,An Naser-Gaza,2600123,31.541528,34.459778,Accessible,BLDA,In person visit,1250,260,,,,,,,,,No changes,,,,,56,0,3,50,95,42
GZA4923,A13,A13,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,Gaza,260,An Naser-Gaza,2600123,31.540528,34.459333,Accessible,BLDA,In person visit,1120,284,63,68,70,190,282,287,90,70,No changes,,,,,40,0,1,184,150,57
NGZ4916,Al-Helo 1,الحلو 1,,Makeshift site,Active,IOM,BLDA,BLDA,IOM/BLDA,North Gaza,255,Ibad Ar-Rahman,25505137,31.539512,34.467077,Accessible,BLDA,In person visit,1013,217,82,61,187,139,204,300,28,12,No changes,,,,,20,0,4,6,60,70
GZA5130,Al Zahra 17,موقع الزهراء 17,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Az Zahra'a,2600372,31.47403,34.40877,Accessible,PHC,In person visit,2125,425,,,,,,,,,People have arrived,,,10,50,52,0,0,17,216,102
GZA5472,Al-Masri 14,المصري 14,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Southern Remal,2600119,31.5133617,34.4371805,Accessible,PHC,In person visit,1100,220,,,,,,,,,People have arrived,,,15,75,30,0,0,15,60,55
GZA4335,Abu Olba - Al-Aqsa camp,مخيم الاقصى,مخيم دوار ابو علبة الاقصى,Makeshift site,Active,DRC,PHC,PHC,DRC/PHC,Gaza,260,An Naser-Gaza,2600123,31.527082,34.460882,Accessible,PHC,In person visit,850,170,,,,,,,,,No changes,,,,,68,0,2,10,60,30
GZA4152,Dawar Falastin Camp,مخيم دوار فلسطين,,Makeshift site,Active,DRC,PHC,PHC,DRC/PHC,Gaza,260,Northern Remal,2600118,31.5227405,34.4560897,Accessible,PHC,In person visit,546,115,,,,,,,,,No changes,,,,,13,0,0,6,8,26
GZA4845,Baghdad,بغداد,,Makeshift site,Active,PHC,,PHC,PHC,Gaza,260,Southern Remal,2600119,31.5193621,34.4409206,Accessible,PHC,In person visit,915,200,,,,,,,,,People have arrived,,,20,105,25,1,0,4,45,18
GZA5277,Karkok Alwafaa3,كركوك الوفاء 3,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.5446356,34.4568261,Accessible,PHC,In person visit,450,100,,,,,,,,,No changes,,,,,15,0,0,0,30,10
KYS1326,Nour Al-Nakheel,موقع مخيمات النور,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,At Tahrir,27002105,31.34412,34.27602,Accessible,DRC,Phone interview,3751,804,,,,,,,,,No changes,,,,,180,9,40,210,480,260
NGZ5249,Ard Al Khair,أرض الخير,,Makeshift site,Active,No SMA,,No SMA,,North Gaza,255,Ar Rawdah,25505139,31.525173,34.4701,Accessible,PHC,In person visit,805,161,,,,,,,,,No changes,,,,,48,0,0,12,60,50
NGZ5242,Al Joud,الجود,,Makeshift site,Active,No SMA,,No SMA,,North Gaza,255,Ibad Ar-Rahman,25505137,31.5391541,34.4661212,Accessible,PHC,In person visit,433,110,,,,,,,,,No changes,,,,,9,0,1,2,25,20
DEB4937,Al-Asdiqa' Camp,مخيم الاصدقاء,,Makeshift site,Active,No SMA,,No SMA,,Deir Al-Balah,265,Al Bureij Camp,26504182,31.43663,34.39802,Accessible,IOM,In person visit,1550,300,,,,,,,,,No changes,,,,,9,6,24,7,35,19
GZA4141,Al-Somood 3,الصمود ٣,,Makeshift site,Active,IOM,PHC,PHC,IOM/PHC,Gaza,260,An Naser-Gaza,2600123,31.537107,34.452775,Accessible,PHC,Phone interview,575,125,,,,,,,,,No changes,,,,,14,0,0,7,87,17
GZA5019,Tashara Al-Turki,موقع تشارا,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Ash Sheikh Radwan,2600116,31.5309265,34.4668457,Accessible,PHC,Phone interview,1775,355,,,,,,,,,No changes,,,,,60,0,0,7,50,66
KYS4270,AL Yabani Site,موقع الياياني,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Amal,27002104,31.361361,34.291728,Accessible,IOM,In person visit,3500,800,,,,,,,,,No changes,,,,,20,1,2,3,80,100
GZA4117,Asaad Al-Saftawi School,مدرسة اسعد الصفطاوي,,Collective Centre (non-UNRWA),Active,No SMA,,No SMA,,Gaza,260,Gaza Old City,2600115,31.503966,34.462188,Accessible,PHC,In person visit,700,180,,,,,,,,,No changes,,,,,49,1,0,18,51,76
GZA5147,Fairouz A12,الفيروز A12,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.541788,34.459812,Accessible,PHC,In person visit,1250,268,,,,,,,,,No changes,,,,,58,0,4,54,93,40
GZA5482,Tariq Al-Hayat 1,طريق الحياة 1,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.5156686,34.4516406,Accessible,PHC,In person visit,400,100,,,,,,,,,No changes,,,,,40,0,9,20,70,20
KYS0951,Noman Baraka Camp,موقع نعمان بركة,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.35395,34.26548,Accessible,PHC,In person visit,11400,2000,,,,,,,,,No changes,,,,,50,0,0,70,100,130
KYS1122,Al Qarra,القرا,,Scattered site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.3520816,34.2667124,Accessible,PHC,In person visit,800,160,,,,,,,,,No changes,,,,,30,10,5,40,150,30
KYS1458,Ard Al Khair,ارض الخير,Ard alkher,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.3491483,34.2610152,Accessible,PHC,In person visit,500,130,,,,,,,,,No changes,,,,,12,0,0,7,30,20
KYS1460,Tobasy,طوباسى,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.35177,34.26487,Accessible,PHC,In person visit,1230,205,,,,,,,,,People have left,3,15,,,15,1,3,17,52,22
KYS1697,Al-Taqwa Camp 2,مخيم التقوى 2,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.37119,34.28384,Accessible,PHC,In person visit,800,200,,,,,,,,,No changes,,,,,12,0,0,8,0,20
KYS1717,Al-Shaer camp,مخيم الشاعر,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.35612,34.26616,Accessible,PHC,In person visit,790,158,,,,,,,,,No changes,,,,,12,15,1,8,10,35
KYS3222,Filastin Camp,مخيم فلسطين,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.345388,34.247615,Accessible,PHC,In person visit,1040,109,,,,,,,,,No changes,,,,,17,17,32,70,70,17
KYS3552,Al-Fajr,الفجر,,Makeshift site,Active,No SMA,,No SMA,,Khan Younis,270,Al Jala'a,27002100,31.38007,34.31926,Accessible,PHC,In person visit,6000,1050,,,,,,,,,No changes,,,,,84,6,3,85,160,278
NGZ4999,Al Sultan,موقع السلطان,,Makeshift site,Active,PARC,,PARC,PARC,North Gaza,255,Ibad Ar-Rahman,25505137,31.541285,34.4766584,Accessible,PHC,In person visit,1100,220,,,,,,,,,People have arrived,,,30,150,40,0,0,15,160,210
NGZ5097,Alfawz Site,موقع الفوز,,Makeshift site,Active,No SMA,,No SMA,,North Gaza,255,Ibad Ar-Rahman,25505137,31.54419555,34.47774415,Accessible,PHC,In person visit,612,162,,,,,,,,,People have arrived,,,4,30,36,0,0,17,5,50
NGZ5102,Al-Karamah Site,مخيم الكرامة,,Makeshift site,Active,DRC,FAFD,FAFD,DRC/FAFD,North Gaza,255,Al Karameh,2550536,31.54810759,34.46501944,Accessible,PHC,In person visit,900,150,,,,,,,,,No changes,,,,,25,0,5,19,30,25
NGZ5469,Ahale Lebnan,أهالي لبنان,,Makeshift site,Active,No SMA,,No SMA,,North Gaza,255,Ibad Ar-Rahman,25505137,31.53961,34.4810483,Accessible,PHC,In person visit,990,198,,,,,,,,,No changes,,,,,15,0,0,25,15,20
NGZ5168,Salateen 1,سلاطين1,,Makeshift site,Active,DRC,FAFD,FAFD,DRC/FAFD,North Gaza,255,Al Salateen,2550129,31.550296,34.479487,Accessible,FAFD,In person visit,540,108,,,,,,,,,People have arrived,,,5,22,10,0,4,4,8,4
GZA4160,Ard Al Isra 1,ارض الاسراء 1,,Makeshift site,Active,DRC,PHC,PHC,DRC/PHC,Gaza,260,Northern Remal,2600118,31.52016,34.454497,Accessible,PHC,Phone interview,325,61,,,,,,,,,No changes,,,,,8,0,0,11,32,25
GZA4397,Samayil State Camp  Sultanate of Oman,مخيم ولاية سمائل سلطنة عمان,,Makeshift site,Active,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.530011,34.457424,Accessible,PHC,In person visit,475,94,,,,,,,,,No changes,,,,,18,0,0,25,60,15
RFH4660,Akwakh Site,موقع الأكواخ,,Makeshift site,Active,DRC,,DRC,DRC,Rafah,275,Al Muharrarat,27501116,31.338645,34.239555,Accessible,DRC,Phone interview,422,93,,,,,,,,,People have left,13,57,,,14,0,5,29,81,36
DEB2515,El Shegagi,الشقاقي,,Makeshift site,Active,DRC,FAFD,FAFD,DRC/FAFD,Deir Al-Balah,265,An Nuseirat,26501147,31.44159,34.38456,Accessible,FAFD,Phone interview,950,190,,,,,,,,,No changes,,,,,19,0,1,4,30,40
DEB2787,Al Nakheel,النخيل ,,Makeshift site,Active,DRC,FAFD,FAFD,DRC/FAFD,Deir Al-Balah,265,Al Bruk,2651090,31.423334,34.342722,Accessible,FAFD,Phone interview,850,170,,,,,,,,,No changes,,,,,15,5,0,15,81,29
DEB3477,Al-Istaqam Shelter Center,مركز ايواء الاستقامة,,Makeshift site,Active,DRC,FAFD,FAFD,DRC/FAFD,Deir Al-Balah,265,Al Balad,2651094,31.4217221,34.3558423,Accessible,FAFD,Phone interview,1110,223,,,,,,,,,No changes,,,,,13,3,0,5,60,47
DEB4282,Capital,موقع كابيتال,,Makeshift site,Active,DRC,FAFD,FAFD,DRC/FAFD,Deir Al-Balah,265,An Nuseirat,26501147,31.44475,34.38119,Accessible,FAFD,Phone interview,4682,956,,,,,,,,,No changes,,,,,280,8,13,119,420,256
